City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
181,Santiago Del Estero,AR,84.36,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
390,Chichi,NG,80.8,overcast clouds,7.2721,8.9332,Ante Roland
686,Eyl,SO,81.43,light rain,7.9803,49.8164,Amiin Hotel
238,Umarkot,PK,76.78,clear sky,25.3616,69.7362,Al-Qamar Boys Hostel
58,Puerto Escondido,MX,84.2,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
110,Aloleng,PH,83.16,overcast clouds,16.1307,119.7824,Agno Umbrella Rocks
214,Jackson,US,71.6,clear sky,42.4165,-122.8345,Agate Village Apartments
169,Kintampo,GH,74.84,overcast clouds,8.0563,-1.7306,Adomaa Memorial Hotel
353,Marsh Harbour,BS,78.26,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
594,Saint-Joseph,RE,77,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
