City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Bandarbeyla,SO,9.4942,50.8122,81.0,78,99,1.57,light rain
213,Akyab,MM,20.15,92.9,76.93,88,7,4.16,clear sky
214,Jackson,US,42.4165,-122.8345,71.6,30,1,2.71,clear sky
215,Atambua,ID,-9.1061,124.8925,76.06,73,77,1.14,broken clouds
216,Craig,US,40.5153,-107.5464,44.6,18,1,5.75,clear sky
217,Georgetown,MY,5.4112,100.3354,82.99,89,20,3.44,few clouds
218,Buzmeyin,TM,38.0507,58.2056,64.4,42,20,6.91,few clouds
219,Chunskiy,RU,56.0815,99.6342,20.73,79,68,9.82,broken clouds
220,Darnah,LY,32.767,22.6367,57.72,74,0,13.35,clear sky
221,Broome,US,42.2506,-75.833,45.0,65,1,6.91,clear sky
222,Gladstone,AU,-23.85,151.25,78.8,57,90,3.44,overcast clouds
223,Batagay,RU,67.6333,134.6333,15.93,85,99,3.87,overcast clouds
224,Yulara,AU,-25.2406,130.9889,68.0,26,0,8.05,clear sky
225,Bambanglipuro,ID,-7.95,110.2833,75.88,78,6,4.81,clear sky
226,Shaki,AZ,41.0833,47.1667,62.6,72,90,6.91,overcast clouds
227,Padang,ID,-0.9492,100.3543,75.2,100,20,2.3,few clouds
228,Vuktyl,RU,63.8567,57.3094,28.9,97,36,2.3,scattered clouds
229,Hobyo,SO,5.3505,48.5268,83.34,72,98,10.11,overcast clouds
230,Sanchursk,RU,56.9413,47.2499,37.08,52,97,14.5,overcast clouds
231,Rognan,NO,67.0953,15.3878,41.0,87,75,19.57,light rain
232,Margate,GB,51.3813,1.3862,48.0,97,12,5.01,few clouds
233,Todos Santos,MX,23.45,-110.2167,73.99,65,2,3.0,clear sky
234,Manadhoo,MV,5.7667,73.3833,83.21,73,93,10.33,overcast clouds
235,Talnakh,RU,69.4865,88.3972,-5.75,88,85,0.6,overcast clouds
236,Shwebo,MM,22.5667,95.7,81.43,25,0,3.74,clear sky
237,Ivanovskaya,RU,55.2833,39.1167,35.6,100,90,11.18,moderate rain
238,Umarkot,PK,25.3616,69.7362,76.78,50,5,7.11,clear sky
239,Balsas,BR,-7.5325,-46.0356,73.22,91,98,1.86,overcast clouds
240,Qasigiannguit,GL,68.8193,-51.1922,15.8,73,13,5.75,few clouds
241,Thompson,CA,55.7435,-97.8558,33.8,75,90,12.66,overcast clouds
242,Hamilton,US,39.1834,-84.5333,48.99,61,90,17.27,overcast clouds
243,Ribeira Grande,PT,38.5167,-28.7,62.26,91,100,14.23,overcast clouds
244,Vlissingen,NL,51.4425,3.5736,46.99,93,92,6.91,mist
245,Amapa,BR,1.0,-52.0,71.65,99,100,1.16,overcast clouds
246,Salalah,OM,17.0151,54.0924,82.4,69,0,3.44,clear sky
247,Jalu,LY,29.0331,21.5482,61.75,42,53,10.45,broken clouds
248,Horqueta,PY,-23.3428,-57.0597,75.36,42,0,7.25,clear sky
249,Walvis Bay,NA,-22.9575,14.5053,75.0,66,6,4.65,clear sky
250,Camacha,PT,33.0833,-16.3333,60.8,77,40,6.87,scattered clouds
251,Kendari,ID,-3.945,122.4989,78.04,86,100,3.74,overcast clouds
252,Lorengau,PG,-2.0226,147.2712,84.79,73,100,9.71,overcast clouds
253,Bjornevatn,NO,69.6672,29.9847,41.0,56,0,13.8,clear sky
254,Dudinka,RU,69.4058,86.1778,-16.89,99,87,0.67,overcast clouds
255,Bathsheba,BB,13.2167,-59.5167,78.8,61,20,18.41,few clouds
256,Rusera,IN,25.75,86.0333,77.65,48,37,11.9,scattered clouds
257,Madimba,TZ,-10.4,40.3333,73.53,94,100,10.76,moderate rain
258,Yurimaguas,PE,-5.9,-76.0833,75.58,88,80,2.06,broken clouds
259,Zemio,CF,5.0314,25.1361,67.91,97,100,8.32,light rain
260,Jhanjharpur,IN,26.2667,86.2833,77.31,50,42,12.5,scattered clouds
261,Brae,GB,60.3964,-1.353,41.0,65,40,19.57,scattered clouds
262,Tiksi,RU,71.6872,128.8694,13.01,93,100,10.4,light snow
263,Bredasdorp,ZA,-34.5322,20.0403,59.0,88,100,3.44,overcast clouds
264,Kenora,CA,49.8167,-94.4337,30.0,43,75,9.22,broken clouds
